FID,GEOID,STATE,COUNTY,TRACT,BLOCKGROUP,STUSAB,all_damage_own,serious_damage_own,serious_damage_own_unmet,all_damage_rent,serious_damage_rent,serious_damage_rent_unmet,SHAPE_Length,SHAPE_Area
226,482015506031,48,201,550603,1,TX,15,0,0,0,0,0,0.0388327307776486,7.32357423718306e-05
227,482015513001,48,201,551300,1,TX,-1,-1,-1,-1,-1,-1,0.0509624028154986,0.000109596600412624
228,482015509001,48,201,550900,1,TX,11,-1,0,-1,-1,-1,0.036001490303909,5.43982967679812e-05
229,482015509004,48,201,550900,4,TX,25,-1,-1,0,0,0,0.0452040092386784,4.55902957242591e-05
230,482015513002,48,201,551300,2,TX,14,-1,-1,0,0,0,0.0368331570516567,7.63777565001022e-05
231,482015224014,48,201,522401,4,TX,-1,0,0,0,0,0,0.0316161885720792,6.02538762737454e-05
232,482014126001,48,201,412600,1,TX,-1,0,0,0,0,0,0.0272261906877823,4.52624809115994e-05
233,482014206002,48,201,420600,2,TX,-1,-1,-1,0,0,0,0.0440804502546678,8.45468192029386e-05
234,482014207003,48,201,420700,3,TX,207,194,-1,12,-1,-1,0.0467605023352224,0.000109820520023992
235,482014234011,48,201,423401,1,TX,37,-1,-1,-1,-1,0,0.0377659876288893,5.55905780179656e-05
236,482014224023,48,201,422402,3,TX,0,0,-1,-1,-1,-1,0.0135461199572567,8.68524891450566e-06
237,482014225004,48,201,422500,4,TX,-1,-1,-1,-1,-1,0,0.036922987494386,4.74493485909536e-05
238,482014306002,48,201,430600,2,TX,-1,-1,-1,-1,-1,0,0.104361311363445,0.000231673479210259
239,482015225004,48,201,522500,4,TX,-1,0,0,0,0,0,0.0553704775482144,0.000119172643695038
240,482014331001,48,201,433100,1,TX,0,0,-1,-1,-1,-1,0.0296461593068391,4.32464754999362e-05
241,482014330011,48,201,433001,1,TX,0,0,0,-1,0,0,0.0334826115535303,6.35990510704471e-05
242,482014331002,48,201,433100,2,TX,-1,0,-1,-1,-1,-1,0.024836752747293,3.65926578455885e-05
243,482014334001,48,201,433400,1,TX,-1,0,-1,-1,0,0,0.0360709129232756,2.9700235012979e-05
244,482014535013,48,201,453501,3,TX,-1,-1,-1,-1,-1,0,0.0207875727124969,2.71446889474404e-05
245,482014534032,48,201,453403,2,TX,-1,0,-1,-1,-1,-1,0.028081445362207,3.45313985413156e-05
246,482014534031,48,201,453403,1,TX,12,0,0,0,0,0,0.0257779954943788,2.86005253287276e-05
247,482014535011,48,201,453501,1,TX,13,-1,-1,-1,0,0,0.0346719470306215,5.05204272410499e-05
248,482014539002,48,201,453900,2,TX,16,0,0,-1,0,0,0.0315481885320378,3.88600671787187e-05
249,482014539003,48,201,453900,3,TX,14,0,0,0,0,0,0.0290286639065363,4.98305595002852e-05
250,482014538001,48,201,453800,1,TX,16,-1,-1,0,0,0,0.0537586167354667,0.000114611281309446
251,482015341003,48,201,534100,3,TX,12,0,-1,0,0,0,0.0640879660991476,0.000141838050911127
